2025-12-29 11:58:31.027  5110-5174  InteractionJankMonitor  com...ao.a202302010306.itemplatform  W  Initializing without READ_DEVICE_CONFIG permission. enabled=false, interval=1, missedFrameThreshold=3, frameTimeThreshold=64, package=com.wujunhao.a202302010306.itemplatform
2025-12-29 11:58:43.128  5110-5198  okhttp.OkHttpClient     com...ao.a202302010306.itemplatform  I  Vary: Origin
2025-12-29 11:58:43.130  5110-5198  okhttp.OkHttpClient     com...ao.a202302010306.itemplatform  I  Access-Control-Allow-Credentials: true
2025-12-29 11:58:43.130  5110-5198  okhttp.OkHttpClient     com...ao.a202302010306.itemplatform  I  X-RateLimit-Limit: 100
2025-12-29 11:58:43.131  5110-5198  okhttp.OkHttpClient     com...ao.a202302010306.itemplatform  I  X-RateLimit-Remaining: 89
2025-12-29 11:58:43.132  5110-5198  okhttp.OkHttpClient     com...ao.a202302010306.itemplatform  I  X-RateLimit-Reset: 1766981369
2025-12-29 11:58:43.133  5110-5198  okhttp.OkHttpClient     com...ao.a202302010306.itemplatform  I  ETag: W/"32d-ZdO6Tjzoj6VNJ3ODq8NEIq8/5L0"
2025-12-29 11:58:43.135  5110-5198  okhttp.OkHttpClient     com...ao.a202302010306.itemplatform  I  {"code":200,"message":"获取用户列表成功","data":{"users":[{"id":4,"username":"admin","email":"admin@example.com","phone":"13800000000","real_name":null,"student_id":null,"department":null,"created_at":"2025-12-28T12:41:25.000Z"},{"id":3,"username":"3","email":"3@qq.com","phone":"33333333333","real_name":"33","student_id":"3","department":"3","created_at":"2025-12-28T10:07:10.000Z"},{"id":2,"username":"2","email":"1@email.com","phone":"22222222222","real_name":null,"student_id":null,"department":null,"created_at":"2025-12-28T09:20:58.000Z"},{"id":1,"username":"testuser","email":"test@example.com","phone":null,"real_name":null,"student_id":null,"department":null,"created_at":"2025-12-28T06:57:46.000Z"}],"pagination":{"page":1,"limit":100,"total":4,"totalPages":1,"hasNext":false,"hasPrev":false}}}
2025-12-29 11:58:43.136  5110-5198  okhttp.OkHttpClient     com...ao.a202302010306.itemplatform  I  <-- END HTTP (813-byte body)
2025-12-29 11:58:43.213  5110-5110  ImeTracker              com...ao.a202302010306.itemplatform  I  com.wujunhao.a202302010306.itemplatform:f265dcc9: onCancelled at PHASE_CLIENT_ON_CONTROLS_CHANGED
2025-12-29 11:58:43.305  5110-5110  AdminActivity           com...ao.a202302010306.itemplatform  D  Response code: 200
2025-12-29 11:58:43.305  5110-5110  AdminActivity           com...ao.a202302010306.itemplatform  D  Response body: AdminUsersResponse(code=200, message=获取用户列表成功, data=AdminUsersData(users=[AdminUser(id=4, username=admin, email=admin@example.com, phone=13800000000, realName=null, studentId=null, department=null, createdAt=2025-12-28T12:41:25.000Z), AdminUser(id=3, username=3, email=3@qq.com, phone=33333333333, realName=33, studentId=3, department=3, createdAt=2025-12-28T10:07:10.000Z), AdminUser(id=2, username=2, email=1@email.com, phone=22222222222, realName=null, studentId=null, department=null, createdAt=2025-12-28T09:20:58.000Z), AdminUser(id=1, username=testuser, email=test@example.com, phone=null, realName=null, studentId=null, department=null, createdAt=2025-12-28T06:57:46.000Z)], pagination=AdminPagination(page=1, limit=100, total=4, totalPages=1, hasNext=false, hasPrev=false)))
2025-12-29 11:58:43.305  5110-5110  AdminActivity           com...ao.a202302010306.itemplatform  D  Response error: null
2025-12-29 11:58:43.305  5110-5110  AdminActivity           com...ao.a202302010306.itemplatform  D  Admin users count: 4
2025-12-29 11:58:43.323  5110-5110  AdminActivity           com...ao.a202302010306.itemplatform  D  Users count: 4
2025-12-29 11:58:43.323  5110-5110  AdminActivity           com...ao.a202302010306.itemplatform  D  用户列表加载成功
2025-12-29 11:58:43.327  5110-5110  WindowOnBackDispatcher  com...ao.a202302010306.itemplatform  D  setTopOnBackInvokedCallback (unwrapped): android.app.Activity$$ExternalSyntheticLambda0@372d4ce
2025-12-29 11:58:43.327  5110-5110  WindowOnBackDispatcher  com...ao.a202302010306.itemplatform  D  setTopOnBackInvokedCallback (unwrapped): android.view.ImeBackAnimationController@2128c42
2025-12-29 11:58:43.408  5110-5110  InsetsController        com...ao.a202302010306.itemplatform  D  hide(ime())
2025-12-29 11:58:43.408  5110-5110  ImeTracker              com...ao.a202302010306.itemplatform  I  com.wujunhao.a202302010306.itemplatform:e143381d: onCancelled at PHASE_CLIENT_ALREADY_HIDDEN
2025-12-29 11:58:43.409  5110-5110  RemoteInpu...ectionImpl com...ao.a202302010306.itemplatform  W  requestCursorUpdates on inactive InputConnection
2025-12-29 11:58:43.414  5110-5110  ImeTracker              com...ao.a202302010306.itemplatform  I  system_server:33db3c84: onCancelled at PHASE_CLIENT_ON_CONTROLS_CHANGED
2025-12-29 11:58:43.430  5110-5110  WindowOnBackDispatcher  com...ao.a202302010306.itemplatform  D  setTopOnBackInvokedCallback (unwrapped): android.app.Activity$$ExternalSyntheticLambda0@dbc1a5c
2025-12-29 11:58:43.518  5110-5110  VRI[LoginActivity]      com...ao.a202302010306.itemplatform  D  visibilityChanged oldVisibility=true newVisibility=false
2025-12-29 11:58:43.526  5110-5124  HWUI                    com...ao.a202302010306.itemplatform  D  endAllActiveAnimators on 0x7e0330ea9bc0 (RippleDrawable) with handle 0x7e0360e4cc50
2025-12-29 11:58:43.553  5110-5110  AutofillManager         com...ao.a202302010306.itemplatform  I  onInvisibleForAutofill(): expiringResponse
2025-12-29 11:58:43.555  5110-5110  WindowOnBackDispatcher  com...ao.a202302010306.itemplatform  D  setTopOnBackInvokedCallback (unwrapped): null
2025-12-29 11:58:43.561  5110-5110  ViewRootImpl            com...ao.a202302010306.itemplatform  D  Skipping stats log for color mode
2025-12-29 11:58:43.566  5110-5110  WindowOnBackDispatcher  com...ao.a202302010306.itemplatform  D  setTopOnBackInvokedCallback (unwrapped): android.view.ImeBackAnimationController@2128c42
2025-12-29 11:58:43.567  5110-5110  WindowOnBackDispatcher  com...ao.a202302010306.itemplatform  D  setTopOnBackInvokedCallback (unwrapped): android.app.Activity$$ExternalSyntheticLambda0@dbc1a5c
